"","FY","VendorSize","Place","Area","CrisisFunding","Amount","Actions"
"402",2006,"Medium","Iraq","Products","Disaster",0.000196797976697633,1
"403",2006,"Medium","Iraq","Products","Residual",0.194120223042791,164
"404",2006,"Medium","Iraq","Services","Disaster",0,1
"405",2006,"Medium","Iraq","Services","Residual",2.11897023739394,634
"406",2006,"Medium","Iraq","R&D","Residual",0.0284343653834939,19
"407",2006,"Medium","Regional Support","Products","Disaster",0.000221816663220498,1
"408",2006,"Medium","Regional Support","Products","Residual",0.326671574314641,2481
"409",2006,"Medium","Regional Support","Services","Disaster",1.80296940835751e-05,1
"410",2006,"Medium","Regional Support","Services","Residual",1.23049613245116,2446
"411",2006,"Medium","Regional Support","R&D","Residual",0.00223484536428816,37
"412",2006,"Medium","Rest of World","Products","Disaster",0.00056352531999459,15
"413",2006,"Medium","Rest of World","Products","Residual",7.75005082006018,44675
"414",2006,"Medium","Rest of World","Services","Disaster",0.0106183466518926,46
"415",2006,"Medium","Rest of World","Services","Residual",6.30642138880273,40630
"416",2006,"Medium","Rest of World","R&D","Residual",0.313402894758999,751
"417",2006,"Small","Afghanistan","Products","Residual",0.00270765552767038,61
"418",2006,"Small","Afghanistan","Services","Disaster",0.00141215540110242,1
"419",2006,"Small","Afghanistan","Services","Residual",0.0522410227792505,35
"420",2006,"Small","Afghanistan","R&D","Residual",0.000153849682605247,10
"421",2006,"Small","Domestic","Products","Disaster",0.938108834555514,NA
"422",2006,"Small","Domestic","Products","Residual",29.3376195380174,NA
"423",2006,"Small","Domestic","Services","Disaster",2.77783029020944,NA
"424",2006,"Small","Domestic","Services","Residual",48.5901573189977,NA
"425",2006,"Small","Domestic","R&D","Disaster",0.147043238929795,NA
"426",2006,"Small","Domestic","R&D","Residual",6.1544382681056,NA
"427",2006,"Small","Iraq","Products","Residual",0.0335101513626534,70
"428",2006,"Small","Iraq","Services","Disaster",0.000348508185030401,1
"429",2006,"Small","Iraq","Services","Residual",0.876199369659959,280
"430",2006,"Small","Iraq","R&D","Residual",0.00480996689491154,5
"431",2006,"Small","Regional Support","Products","Residual",0.00522901188918816,144
"432",2006,"Small","Regional Support","Services","Residual",0.0379703851100998,125
"433",2006,"Small","Regional Support","R&D","Residual",0.000937930505135495,18
"434",2006,"Small","Rest of World","Products","Disaster",3.6474938429848e-05,5
"435",2006,"Small","Rest of World","Products","Residual",0.211655701829149,3278
"436",2006,"Small","Rest of World","Services","Disaster",0.000253254725765693,7
"437",2006,"Small","Rest of World","Services","Residual",0.246598513607119,2081
"438",2006,"Small","Rest of World","R&D","Residual",0.0143462038110181,130
"439",2007,"Big Five","Afghanistan","Products","Residual",1.30355481940917,13249
"440",2007,"Big Five","Afghanistan","Services","Residual",0.386382781882055,318
"441",2007,"Big Five","Afghanistan","R&D","Residual",0.000163389862834435,9
"442",2007,"Big Five","Domestic","Products","Disaster",0.734631922571568,NA
"443",2007,"Big Five","Domestic","Products","Residual",66.2402784998717,NA
"444",2007,"Big Five","Domestic","Services","Disaster",0.140338986384338,NA
"445",2007,"Big Five","Domestic","Services","Residual",27.7551287840566,NA
"446",2007,"Big Five","Domestic","R&D","Disaster",0.0039731041537697,NA
"447",2007,"Big Five","Domestic","R&D","Residual",33.4782942567366,NA
"448",2007,"Big Five","Iraq","Products","Residual",5.5116942566607,28275
"449",2007,"Big Five","Iraq","Services","Disaster",-1.33914839721714e-05,1
"450",2007,"Big Five","Iraq","Services","Residual",0.384540255238222,804
"451",2007,"Big Five","Iraq","R&D","Residual",0.0218114808844942,29
"452",2007,"Big Five","Regional Support","Products","Residual",0.0417864314831321,4736
"453",2007,"Big Five","Regional Support","Services","Residual",0.167261498567616,822
"454",2007,"Big Five","Regional Support","R&D","Residual",-0.00387295360196024,2
"455",2007,"Big Five","Rest of World","Products","Disaster",4.76177207549128e-05,5
"456",2007,"Big Five","Rest of World","Products","Residual",0.507976205186808,153544
"457",2007,"Big Five","Rest of World","Services","Disaster",0.0230225955965157,28
"458",2007,"Big Five","Rest of World","Services","Residual",1.52258492617199,16546
"459",2007,"Big Five","Rest of World","R&D","Residual",0.479691336894925,325
"460",2007,"Large","Afghanistan","Products","Residual",0.0506346481879964,24
"461",2007,"Large","Afghanistan","Services","Disaster",0.00974551487700828,1
"462",2007,"Large","Afghanistan","Services","Residual",1.62502808186737,350
"463",2007,"Large","Afghanistan","R&D","Residual",0,1
"464",2007,"Large","Domestic","Products","Disaster",0.57279294498055,NA
"465",2007,"Large","Domestic","Products","Residual",64.6397380798861,NA
"466",2007,"Large","Domestic","Services","Disaster",0.500197460228706,NA
"467",2007,"Large","Domestic","Services","Residual",68.6802806397231,NA
"468",2007,"Large","Domestic","R&D","Disaster",0.00691174604929123,NA
"469",2007,"Large","Domestic","R&D","Residual",20.9051850643293,NA
"470",2007,"Large","Iraq","Products","Residual",0.00418628150172188,29
"471",2007,"Large","Iraq","Services","Disaster",1.2919113133427e-05,3
"472",2007,"Large","Iraq","Services","Residual",6.28512491645614,723
"473",2007,"Large","Iraq","R&D","Residual",0.0836436468192251,9
"474",2007,"Large","Regional Support","Products","Disaster",2.80395660978958e-05,1
"475",2007,"Large","Regional Support","Products","Residual",3.02145691418501,4381
"476",2007,"Large","Regional Support","Services","Disaster",-0.00624725683103926,1
"477",2007,"Large","Regional Support","Services","Residual",1.08497197567703,540
"478",2007,"Large","Regional Support","R&D","Residual",0.0189418485620297,62
"479",2007,"Large","Rest of World","Products","Disaster",0.019004736403927,7
"480",2007,"Large","Rest of World","Products","Residual",3.70896051804488,4512
"481",2007,"Large","Rest of World","Services","Disaster",0.00122456118362823,7
"482",2007,"Large","Rest of World","Services","Residual",2.60988052045769,14026
"483",2007,"Large","Rest of World","R&D","Residual",0.236298636423724,197
"484",2007,"Medium","Afghanistan","Products","Residual",0.264529220449053,124
"485",2007,"Medium","Afghanistan","Services","Disaster",2.03291440334393e-05,1
"486",2007,"Medium","Afghanistan","Services","Residual",1.01045975859468,630
"487",2007,"Medium","Afghanistan","R&D","Residual",0.000123571982109303,5
"488",2007,"Medium","Domestic","Products","Disaster",0.133304459230133,NA
"489",2007,"Medium","Domestic","Products","Residual",36.0444096262651,NA
"490",2007,"Medium","Domestic","Services","Disaster",1.1706783959304,NA
"491",2007,"Medium","Domestic","Services","Residual",62.9162894905951,NA
"492",2007,"Medium","Domestic","R&D","Disaster",0.00503029210427798,NA
"493",2007,"Medium","Domestic","R&D","Residual",11.6305505290311,NA
"494",2007,"Medium","Iraq","Products","Residual",0.59060934735235,210
"495",2007,"Medium","Iraq","Services","Disaster",0.0105058943436473,2
"496",2007,"Medium","Iraq","Services","Residual",3.12719465379444,716
"497",2007,"Medium","Iraq","R&D","Residual",0.00230251461353428,13
"498",2007,"Medium","Regional Support","Products","Disaster",3.78630450939202e-05,6
"499",2007,"Medium","Regional Support","Products","Residual",0.609434915767273,3032
"500",2007,"Medium","Regional Support","Services","Disaster",0.00466467053986219,6
"501",2007,"Medium","Regional Support","Services","Residual",1.41490327711202,3758
"502",2007,"Medium","Regional Support","R&D","Disaster",0,1
"503",2007,"Medium","Regional Support","R&D","Residual",0.00498387574180523,41
"504",2007,"Medium","Rest of World","Products","Disaster",0.00919812015255152,1161
"505",2007,"Medium","Rest of World","Products","Residual",4.64842756266509,101281
"506",2007,"Medium","Rest of World","Services","Disaster",0.0116333408982606,53
"507",2007,"Medium","Rest of World","Services","Residual",7.11457491242167,43612
"508",2007,"Medium","Rest of World","R&D","Disaster",-0.000119953529762028,1
"509",2007,"Medium","Rest of World","R&D","Residual",0.300984078725975,633
"510",2007,"Small","Afghanistan","Products","Residual",0.0537574283539011,107
"511",2007,"Small","Afghanistan","Services","Residual",0.136355374547636,115
"512",2007,"Small","Afghanistan","R&D","Residual",0.00242549670536073,5
"513",2007,"Small","Domestic","Products","Disaster",0.149047865397856,NA
"514",2007,"Small","Domestic","Products","Residual",32.0567870680888,NA
"515",2007,"Small","Domestic","Services","Disaster",0.812701764487266,NA
"516",2007,"Small","Domestic","Services","Residual",52.3579109850312,NA
"517",2007,"Small","Domestic","R&D","Disaster",0.0239759249873182,NA
"518",2007,"Small","Domestic","R&D","Residual",6.57869372440539,NA
"519",2007,"Small","Iraq","Products","Residual",0.0350097435256454,88
"520",2007,"Small","Iraq","Services","Residual",0.412271971539318,500
"521",2007,"Small","Iraq","R&D","Residual",0.0185961174673595,13
"522",2007,"Small","Regional Support","Products","Residual",0.0148135072074899,270
"523",2007,"Small","Regional Support","Services","Residual",0.0921434676502271,167
"524",2007,"Small","Regional Support","R&D","Residual",0.000540227804024341,17
"525",2007,"Small","Rest of World","Products","Disaster",0.00108601657081718,16
"526",2007,"Small","Rest of World","Products","Residual",0.342523081480944,9266
"527",2007,"Small","Rest of World","Services","Disaster",0.00062151565955249,9
"528",2007,"Small","Rest of World","Services","Residual",0.43124346315078,5621
"529",2007,"Small","Rest of World","R&D","Residual",0.00706820797464866,118
"530",2008,"Big Five","Afghanistan","Products","Residual",1.58768889112584,13491
"531",2008,"Big Five","Afghanistan","Services","Residual",0.52542242640185,461
"532",2008,"Big Five","Afghanistan","R&D","Residual",0.000486397531226661,4
"533",2008,"Big Five","Domestic","Products","Disaster",0.329085551171827,NA
"534",2008,"Big Five","Domestic","Products","Residual",70.8386618232472,NA
"535",2008,"Big Five","Domestic","Services","Disaster",0.0548558664341877,NA
"536",2008,"Big Five","Domestic","Services","Residual",28.0903311636029,NA
"537",2008,"Big Five","Domestic","R&D","Disaster",0.0152996395514681,NA
"538",2008,"Big Five","Domestic","R&D","Residual",32.1450263296812,NA
"539",2008,"Big Five","Iraq","Products","Residual",6.78930423100857,24592
"540",2008,"Big Five","Iraq","Services","Residual",0.588929238142484,902
"541",2008,"Big Five","Iraq","R&D","Residual",0.0844901709329498,24
"542",2008,"Big Five","Regional Support","Products","Residual",0.0173478596108543,7693
"543",2008,"Big Five","Regional Support","Services","Disaster",4.67332024206184e-05,1
"544",2008,"Big Five","Regional Support","Services","Residual",0.163959423332289,943
"545",2008,"Big Five","Regional Support","R&D","Residual",0.0353974239003749,2
"546",2008,"Big Five","Rest of World","Products","Disaster",3.87642636123114e-05,7
"547",2008,"Big Five","Rest of World","Products","Residual",0.513015912807749,148984
"548",2008,"Big Five","Rest of World","Services","Disaster",0.000399418417177198,16
"549",2008,"Big Five","Rest of World","Services","Residual",2.05104180415535,18687
"550",2008,"Big Five","Rest of World","R&D","Disaster",1.22362778558427e-05,2
"551",2008,"Big Five","Rest of World","R&D","Residual",0.243837791966845,696
"552",2008,"Large","Afghanistan","Products","Residual",0.0606442510668312,22
"553",2008,"Large","Afghanistan","Services","Residual",2.77626479101841,414
"554",2008,"Large","Afghanistan","R&D","Residual",0,2
"555",2008,"Large","Domestic","Products","Disaster",0.103963369249709,NA
"556",2008,"Large","Domestic","Products","Residual",82.8303352436546,NA
"557",2008,"Large","Domestic","Services","Disaster",0.430384668538888,NA
"558",2008,"Large","Domestic","Services","Residual",74.0812222195857,NA
"559",2008,"Large","Domestic","R&D","Disaster",0.0103907381277955,NA
"560",2008,"Large","Domestic","R&D","Residual",21.8286898188007,NA
"561",2008,"Large","Iraq","Products","Residual",0.048377976554786,20
"562",2008,"Large","Iraq","Services","Disaster",-3.08648180785771e-05,1
"563",2008,"Large","Iraq","Services","Residual",7.61349893459543,935
"564",2008,"Large","Iraq","R&D","Residual",-0.00368610585134712,14
"565",2008,"Large","Regional Support","Products","Residual",3.81050847062475,9782
"566",2008,"Large","Regional Support","Services","Disaster",-9.41643286891682e-05,1
"567",2008,"Large","Regional Support","Services","Residual",1.00466372484158,444
"568",2008,"Large","Regional Support","R&D","Residual",0.104210141241408,34
"569",2008,"Large","Rest of World","Products","Disaster",8.38506870183447e-05,13
"570",2008,"Large","Rest of World","Products","Residual",5.04598471586211,4268
"571",2008,"Large","Rest of World","Services","Disaster",0.000702960930514348,8
"572",2008,"Large","Rest of World","Services","Residual",2.50692897347204,12937
"573",2008,"Large","Rest of World","R&D","Residual",0.341424738519424,203
"574",2008,"Medium","Afghanistan","Products","Residual",1.62859186956449,155
"575",2008,"Medium","Afghanistan","Services","Disaster",0.00112661851988411,2
"576",2008,"Medium","Afghanistan","Services","Residual",1.58273003318831,663
"577",2008,"Medium","Afghanistan","R&D","Residual",-0.0111696208983676,5
"578",2008,"Medium","Domestic","Products","Disaster",0.0916846119154396,NA
"579",2008,"Medium","Domestic","Products","Residual",36.8912666858106,NA
"580",2008,"Medium","Domestic","Services","Disaster",0.71146765904141,NA
"581",2008,"Medium","Domestic","Services","Residual",69.95386737954,NA
"582",2008,"Medium","Domestic","R&D","Disaster",0.00814444301527612,NA
"583",2008,"Medium","Domestic","R&D","Residual",11.6356446781575,NA
"584",2008,"Medium","Iraq","Products","Disaster",7.79547703670516e-05,2
"585",2008,"Medium","Iraq","Products","Residual",0.573132572798479,152
"586",2008,"Medium","Iraq","Services","Disaster",0,1
"587",2008,"Medium","Iraq","Services","Residual",1.75168665242321,688
"588",2008,"Medium","Iraq","R&D","Residual",0.130740456623369,18
"589",2008,"Medium","Regional Support","Products","Disaster",9.4117645338451e-05,3
"590",2008,"Medium","Regional Support","Products","Residual",0.444064109904333,3137
"591",2008,"Medium","Regional Support","Services","Disaster",5.27702437052257e-06,3
"592",2008,"Medium","Regional Support","Services","Residual",1.1144062766977,3516
"593",2008,"Medium","Regional Support","R&D","Residual",0.0243433013117859,63
"594",2008,"Medium","Rest of World","Products","Disaster",0.091389768036911,50
"595",2008,"Medium","Rest of World","Products","Residual",4.11967567622803,110783
"596",2008,"Medium","Rest of World","Services","Disaster",0.00706753139623447,56
"597",2008,"Medium","Rest of World","Services","Residual",6.72787780523054,43785
"598",2008,"Medium","Rest of World","R&D","Disaster",8.00191847966077e-05,2
"599",2008,"Medium","Rest of World","R&D","Residual",0.304393213435474,755
"600",2008,"Small","Afghanistan","Products","Residual",0.0393818684119111,85
"601",2008,"Small","Afghanistan","Services","Residual",0.038005817979606,111
"602",2008,"Small","Afghanistan","R&D","Disaster",0.000180852829463984,1
"603",2008,"Small","Afghanistan","R&D","Residual",0.00480712332186662,15
"604",2008,"Small","Domestic","Products","Disaster",0.145431033442462,NA
"605",2008,"Small","Domestic","Products","Residual",33.5226393892875,NA
"606",2008,"Small","Domestic","Services","Disaster",0.581765638935507,NA
"607",2008,"Small","Domestic","Services","Residual",57.7231107645593,NA
"608",2008,"Small","Domestic","R&D","Disaster",0.0110976135026879,NA
"609",2008,"Small","Domestic","R&D","Residual",6.13207881184522,NA
"610",2008,"Small","Iraq","Products","Residual",0.0600833225691504,55
"611",2008,"Small","Iraq","Services","Disaster",0.0021934749506418,1
"612",2008,"Small","Iraq","Services","Residual",0.359821794140894,398
"613",2008,"Small","Iraq","R&D","Residual",0.0346308784736787,26
"614",2008,"Small","Regional Support","Products","Disaster",7.85660519544328e-05,3
"615",2008,"Small","Regional Support","Products","Residual",0.0314429166218108,519
"616",2008,"Small","Regional Support","Services","Disaster",0.000161273584022491,1
"617",2008,"Small","Regional Support","Services","Residual",0.0752162161821733,255
"618",2008,"Small","Regional Support","R&D","Residual",0.00130887460833054,10
"619",2008,"Small","Rest of World","Products","Disaster",0.00086462622706603,21
"620",2008,"Small","Rest of World","Products","Residual",0.379109747228943,8330
"621",2008,"Small","Rest of World","Services","Disaster",0.00021372271628873,9
"622",2008,"Small","Rest of World","Services","Residual",0.611200061192966,5489
"623",2008,"Small","Rest of World","R&D","Disaster",7.59546092441305e-05,1
"624",2008,"Small","Rest of World","R&D","Residual",0.0496345204609941,260
"625",2009,"Big Five","Afghanistan","Products","Disaster",0.00168397096874835,20
"626",2009,"Big Five","Afghanistan","Products","Residual",1.44853467531754,10985
"627",2009,"Big Five","Afghanistan","Services","Disaster",0.000137315519970999,1
"628",2009,"Big Five","Afghanistan","Services","Residual",1.27826600840363,4093
"629",2009,"Big Five","Afghanistan","R&D","Residual",0.27556927736476,38
"630",2009,"Big Five","Domestic","Products","ARRA",0.00116133545167473,3
"631",2009,"Big Five","Domestic","Products","Disaster",0.441719242958709,NA
"632",2009,"Big Five","Domestic","Products","Residual",69.3693841192624,NA
"633",2009,"Big Five","Domestic","Services","ARRA",0.0752958079676815,25
"634",2009,"Big Five","Domestic","Services","Disaster",0.056936519837783,NA
"635",2009,"Big Five","Domestic","Services","Residual",30.3842049009718,NA
"636",2009,"Big Five","Domestic","R&D","ARRA",0.344731196643993,25
"637",2009,"Big Five","Domestic","R&D","Disaster",0.00383621574382979,11
"638",2009,"Big Five","Domestic","R&D","Residual",32.4551706576077,NA
"639",2009,"Big Five","Iraq","Products","Disaster",2.87148753699354e-05,2
"640",2009,"Big Five","Iraq","Products","Residual",0.985825724966354,7003
"641",2009,"Big Five","Iraq","Services","Disaster",0.00143147559969767,1
"642",2009,"Big Five","Iraq","Services","Residual",1.20147155345596,4236
"643",2009,"Big Five","Iraq","R&D","Residual",0.170788839950217,151
"644",2009,"Big Five","Regional Support","Products","Residual",0.0328519242213977,8372
"645",2009,"Big Five","Regional Support","Services","Residual",0.147980107054187,1156
"646",2009,"Big Five","Regional Support","R&D","Residual",0.0753873733284782,9
"647",2009,"Big Five","Rest of World","Products","Disaster",0.000271336606230694,12
"648",2009,"Big Five","Rest of World","Products","Residual",0.766237863016187,145799
"649",2009,"Big Five","Rest of World","Services","Disaster",0.000854447591979541,24
"650",2009,"Big Five","Rest of World","Services","Residual",1.78770570622228,23211
"651",2009,"Big Five","Rest of World","R&D","ARRA",0.0204535999956802,2
"652",2009,"Big Five","Rest of World","R&D","Disaster",1.20279771814597e-05,1
"653",2009,"Big Five","Rest of World","R&D","Residual",0.285153071713024,931
"654",2009,"Large","Afghanistan","Products","Residual",0.171939422491078,444
"655",2009,"Large","Afghanistan","Services","Disaster",0,1
"656",2009,"Large","Afghanistan","Services","Residual",2.42671106215996,472
"657",2009,"Large","Domestic","Products","ARRA",0.451530650418333,NA
"658",2009,"Large","Domestic","Products","Disaster",0.0234857956248958,NA
"659",2009,"Large","Domestic","Products","Residual",75.2444082099658,NA
"660",2009,"Large","Domestic","Services","ARRA",5.81633329827549,NA
"661",2009,"Large","Domestic","Services","Disaster",0.345603550212945,NA
"662",2009,"Large","Domestic","Services","Residual",82.1287747476785,NA
"663",2009,"Large","Domestic","R&D","ARRA",1.8049385514596,NA
"664",2009,"Large","Domestic","R&D","Disaster",0.0127721556789345,30
"665",2009,"Large","Domestic","R&D","Residual",22.176826207061,NA
"666",2009,"Large","Iraq","Products","Residual",0.0212448528183931,311
"667",2009,"Large","Iraq","Services","Residual",6.08527619659165,874
"668",2009,"Large","Iraq","R&D","Residual",0.0546514744703936,25
"669",2009,"Large","Regional Support","Products","Disaster",0.000474729404731737,2
"670",2009,"Large","Regional Support","Products","Residual",5.93433517115526,24282
"671",2009,"Large","Regional Support","Services","Residual",1.21751738004305,577
"672",2009,"Large","Regional Support","R&D","Residual",0.0238173486024418,18
"673",2009,"Large","Rest of World","Products","Disaster",0.00219513338716839,14
"674",2009,"Large","Rest of World","Products","Residual",5.86809953742669,4480
"675",2009,"Large","Rest of World","Services","Disaster",0.172778070108245,34
"676",2009,"Large","Rest of World","Services","Residual",3.79174536567749,14810
"677",2009,"Large","Rest of World","R&D","Disaster",0,1
"678",2009,"Large","Rest of World","R&D","Residual",0.55442200473601,178
"679",2009,"Medium","Afghanistan","Products","Disaster",2.75294399941858e-06,1
"680",2009,"Medium","Afghanistan","Products","Residual",0.699743482436038,2185
"681",2009,"Medium","Afghanistan","Services","Disaster",0.000552247199883365,1
"682",2009,"Medium","Afghanistan","Services","Residual",2.64061515661379,1040
"683",2009,"Medium","Afghanistan","R&D","Residual",0.0421538023664731,11
"684",2009,"Medium","Domestic","Products","ARRA",0.340804369926454,NA
"685",2009,"Medium","Domestic","Products","Disaster",0.0467302548452666,NA
"686",2009,"Medium","Domestic","Products","Residual",35.5413143605599,NA
"687",2009,"Medium","Domestic","Services","ARRA",4.61870903211915,NA
"688",2009,"Medium","Domestic","Services","Disaster",0.416253437813447,NA
"689",2009,"Medium","Domestic","Services","Residual",73.7782300780289,NA
"690",2009,"Medium","Domestic","R&D","ARRA",0.157028855072084,NA
"691",2009,"Medium","Domestic","R&D","Disaster",0.00535389673341326,NA
"692",2009,"Medium","Domestic","R&D","Residual",13.1771162325749,NA
"693",2009,"Medium","Iraq","Products","Residual",1.5012448248246,1548
"694",2009,"Medium","Iraq","Services","Residual",1.84504251165777,978
"695",2009,"Medium","Iraq","R&D","Residual",0.197374306967355,35
"696",2009,"Medium","Regional Support","Products","Disaster",0.000173464516075364,5
"697",2009,"Medium","Regional Support","Products","Residual",0.744056666159255,3633
"698",2009,"Medium","Regional Support","Services","Disaster",-2.43643504268543e-05,5
"699",2009,"Medium","Regional Support","Services","Residual",1.29849737831062,3323
"700",2009,"Medium","Regional Support","R&D","Residual",0.0228832787278231,39
"701",2009,"Medium","Rest of World","Products","ARRA",0.00307729276575008,2
"702",2009,"Medium","Rest of World","Products","Disaster",0.00057163778759127,31
"703",2009,"Medium","Rest of World","Products","Residual",4.25432992444201,118482
"704",2009,"Medium","Rest of World","Services","Disaster",0.0038011447851172,38
"705",2009,"Medium","Rest of World","Services","Residual",7.82018985890567,46541
"706",2009,"Medium","Rest of World","R&D","Disaster",-5.52799999883249e-07,1
"707",2009,"Medium","Rest of World","R&D","Residual",0.337387740847608,828
"708",2009,"Small","Afghanistan","Products","Disaster",0.00158223521566583,2
"709",2009,"Small","Afghanistan","Products","Residual",0.274889551964135,2520
"710",2009,"Small","Afghanistan","Services","Disaster",5.52711551883267e-05,1
"711",2009,"Small","Afghanistan","Services","Residual",0.345979623977745,819
"712",2009,"Small","Afghanistan","R&D","Residual",0.0459539724656865,25
"713",2009,"Small","Domestic","Products","ARRA",0.357547131938054,NA
"714",2009,"Small","Domestic","Products","Disaster",0.0724771325766928,NA
"715",2009,"Small","Domestic","Products","Residual",32.0703349065501,NA
"716",2009,"Small","Domestic","Services","ARRA",4.51873509686027,NA
"717",2009,"Small","Domestic","Services","Disaster",0.42624096509761,NA
"718",2009,"Small","Domestic","Services","Residual",61.1717943150233,NA
"719",2009,"Small","Domestic","R&D","ARRA",0.0727833541244362,139
"720",2009,"Small","Domestic","R&D","Disaster",0.00869293428464405,NA
"721",2009,"Small","Domestic","R&D","Residual",6.42823191943884,NA
"722",2009,"Small","Iraq","Products","Disaster",2.01265635157493e-06,1
"723",2009,"Small","Iraq","Products","Residual",0.144470775305936,1930
"724",2009,"Small","Iraq","Services","Residual",0.144576690050121,808
"725",2009,"Small","Iraq","R&D","Residual",0.0094625692884495,35
"726",2009,"Small","Regional Support","Products","ARRA",5.82944404996882e-05,1
"727",2009,"Small","Regional Support","Products","Disaster",1.03811749258075e-05,1
"728",2009,"Small","Regional Support","Products","Residual",0.0223746737390985,317
"729",2009,"Small","Regional Support","Services","Disaster",9.3262335180303e-06,1
"730",2009,"Small","Regional Support","Services","Residual",0.0694536623979554,245
"731",2009,"Small","Regional Support","R&D","Residual",0.0010719791128456,47
"732",2009,"Small","Rest of World","Products","ARRA",0.000567193806280209,1
"733",2009,"Small","Rest of World","Products","Disaster",4.31301635748909e-05,6
"734",2009,"Small","Rest of World","Products","Residual",0.503806225580972,7465
"735",2009,"Small","Rest of World","Services","Disaster",0.000239991143613314,6
"736",2009,"Small","Rest of World","Services","Residual",0.59698345729748,4708
"737",2009,"Small","Rest of World","R&D","Disaster",3.47322913206645e-05,1
"738",2009,"Small","Rest of World","R&D","Residual",0.0819419271173179,1542
"739",2010,"Big Five","Afghanistan","Products","Disaster",0.000544255193440346,2
"740",2010,"Big Five","Afghanistan","Products","Residual",1.24824656788375,16266
"741",2010,"Big Five","Afghanistan","Services","Residual",1.8255220642329,8033
"742",2010,"Big Five","Afghanistan","R&D","Residual",0.526810896168795,185
"743",2010,"Big Five","Domestic","Products","ARRA",0.131995213730571,18
"744",2010,"Big Five","Domestic","Products","Disaster",0.0112875866800142,NA
"745",2010,"Big Five","Domestic","Products","Residual",63.8553485280182,NA
"746",2010,"Big Five","Domestic","Services","ARRA",0.177148970546853,101
"747",2010,"Big Five","Domestic","Services","Disaster",0.0173437460157118,NA
"748",2010,"Big Five","Domestic","Services","Residual",26.2429728957561,NA
"749",2010,"Big Five","Domestic","R&D","ARRA",0.110401954295874,NA
"750",2010,"Big Five","Domestic","R&D","Disaster",0.00258379492831792,NA
"751",2010,"Big Five","Domestic","R&D","Residual",29.0388705860814,NA
"752",2010,"Big Five","Iraq","Products","Residual",0.516008474133912,6816
"753",2010,"Big Five","Iraq","Services","Residual",0.797884294983676,5271
"754",2010,"Big Five","Iraq","R&D","Residual",0.379081726727016,287
"755",2010,"Big Five","Regional Support","Products","Residual",0.0368042493107383,7015
"756",2010,"Big Five","Regional Support","Services","Residual",0.206399798919041,1191
"757",2010,"Big Five","Regional Support","R&D","Residual",0.0611348029049373,29
"758",2010,"Big Five","Rest of World","Products","Disaster",0.00150098470023979,84
"759",2010,"Big Five","Rest of World","Products","Residual",0.780452995309872,148179
"760",2010,"Big Five","Rest of World","Services","ARRA",0.000344575582539791,3
"761",2010,"Big Five","Rest of World","Services","Disaster",0.00982515560261423,267
"762",2010,"Big Five","Rest of World","Services","Residual",1.71508657554443,26641
"763",2010,"Big Five","Rest of World","R&D","ARRA",0,1
"764",2010,"Big Five","Rest of World","R&D","Disaster",3.77958781041919e-05,4
"765",2010,"Big Five","Rest of World","R&D","Residual",0.288945335929251,1366
"766",2010,"Large","Afghanistan","Products","Residual",0.229206233854139,550
"767",2010,"Large","Afghanistan","Services","Residual",4.8533752499707,608
"768",2010,"Large","Afghanistan","R&D","Residual",0.0466391171799348,3
"769",2010,"Large","Domestic","Products","ARRA",0.250528950965988,NA
"770",2010,"Large","Domestic","Products","Disaster",0.00461674549618976,NA
"771",2010,"Large","Domestic","Products","Residual",68.0362439177877,NA
"772",2010,"Large","Domestic","Services","ARRA",3.31662811153443,NA
"773",2010,"Large","Domestic","Services","Disaster",-0.0185336061569962,NA
"774",2010,"Large","Domestic","Services","Residual",79.9747800253415,NA
"775",2010,"Large","Domestic","R&D","ARRA",0.786440711583361,NA
"776",2010,"Large","Domestic","R&D","Disaster",0.00277999821802142,NA
"777",2010,"Large","Domestic","R&D","Residual",21.761057289634,NA
"778",2010,"Large","Iraq","Products","Residual",0.103300062400164,174
"779",2010,"Large","Iraq","Services","Residual",4.65039219877189,894
"780",2010,"Large","Iraq","R&D","Residual",0.0933470636691038,53
"781",2010,"Large","Regional Support","Products","Disaster",9.71060116136265e-06,1
"782",2010,"Large","Regional Support","Products","Residual",2.87775708569483,16508
"783",2010,"Large","Regional Support","Services","Residual",1.16207350986907,580
"784",2010,"Large","Regional Support","R&D","Residual",0.0299322939681745,21
"785",2010,"Large","Rest of World","Products","Disaster",0.0016097215977287,10
"786",2010,"Large","Rest of World","Products","Residual",8.85890823853738,4154
"787",2010,"Large","Rest of World","Services","Disaster",0.00237189896534541,4
"788",2010,"Large","Rest of World","Services","Residual",2.42523300557553,12505
"789",2010,"Large","Rest of World","R&D","Residual",0.480452011677461,152
"790",2010,"Medium","Afghanistan","Products","Residual",0.930781570246899,3655
"791",2010,"Medium","Afghanistan","Services","Residual",4.59403177237294,2186
"792",2010,"Medium","Afghanistan","R&D","Residual",0.143025424099811,42
"793",2010,"Medium","Domestic","Products","ARRA",0.41639389720077,NA
"794",2010,"Medium","Domestic","Products","Disaster",-0.0231340967751872,NA
"795",2010,"Medium","Domestic","Products","Residual",32.4490520186978,NA
"796",2010,"Medium","Domestic","Services","ARRA",5.79261873381498,NA
"797",2010,"Medium","Domestic","Services","Disaster",0.166846785194403,NA
"798",2010,"Medium","Domestic","Services","Residual",73.8475448422793,NA
