"Account","BudgetActivity","BudgetActivityTitle","BSA","BSAtitle","LineItem","LineItemTitle","CostType","CostTypeTitle","AddOrNonAdd","Classified","FiscalYear","Actual","App","Base_App","Base_PB","OCO_App","OCO_PB","PB","Quant_Actual","Quant_App","Quant_Base_App","Quant_Base_PB","Quant_OCO_App","Quant_OCO_PB","Quant_PB"
"1109N","06","Engineer and Other Equipment","03","General Property","6543","Container Family","A","Weapon System Cost","Add","U",2015,1856,,,,,,,0,,,,,,
"1109N","06","Engineer and Other Equipment","03","General Property","6544","Family of Construction Equipment","A","Weapon System Cost","Add","U",2015,15905,,,,,,,0,,,,,,
"1109N","06","Engineer and Other Equipment","03","General Property","6545","Family of Internally Transportable Veh (ITV)","A","Weapon System Cost","Add","U",2015,0,,,,,,,0,,,,,,
"1109N","06","Engineer and Other Equipment","04","Other Support","6670","Items Less Than $5 Million","A","Weapon System Cost","Add","U",2015,4663,,,,,,,0,,,,,,
"1109N","06","Engineer and Other Equipment","04","Other Support","6693","Cancelled Account Adjustment (M)","A","Weapon System Cost","Add","U",2015,53,,,,,,,0,,,,,,
"1109N","07","Spares and Repair Parts","01","Spares and Repair Parts","7000","Spares and Repair Parts","A","Weapon System Cost","Add","U",2015,16185,,,,,,,0,,,,,,
"3010F","01","Combat Aircraft","03","Tactical Forces","ATA000","F-35","A","Weapon System Cost","Add","U",2015,3965374,,,,,,,28,,,,,,
"3010F","01","Combat Aircraft","03","Tactical Forces","ATA000","F-35","B","Less: Advance Procurement (PY)","Add","U",2015,-339533,,,,,,,0,,,,,,
"3010F","01","Combat Aircraft","03","Tactical Forces","ATA000","F-35","C","Advance Procurement (CY)","Add","U",2015,418880,,,,,,,0,,,,,,
"3010F","01","Combat Aircraft","03","Tactical Forces","ATA000","F-35","C","C (FY 2015 for FY 2016) (M)","Non-Add","U",2015,418880,,,,,,,0,,,,,,
"3010F","01","Combat Aircraft","03","Tactical Forces","ATA000","F-35","C","C (FY 2016 for FY 2017) (M)","Non-Add","U",2015,0,,,,,,,0,,,,,,
"3010F","01","Combat Aircraft","03","Tactical Forces","ATA000","F-35","C","C (FY 2017 for FY 2018) (M)","Non-Add","U",2015,0,,,,,,,0,,,,,,
"3010F","02","Airlift Aircraft","02","Tactical Airlift","KC046A","KC-46A Tanker","A","Weapon System Cost","Add","U",2015,1573185,,,,,,,7,,,,,,
"3010F","02","Airlift Aircraft","03","Other Airlift","C130J0","C-130J","A","Weapon System Cost","Add","U",2015,650396,,,,,,,8,,,,,,
"3010F","02","Airlift Aircraft","03","Other Airlift","C130J0","C-130J","B","Less: Advance Procurement (PY)","Add","U",2015,-98000,,,,,,,0,,,,,,
"3010F","02","Airlift Aircraft","03","Other Airlift","C130J0","C-130J","C","Advance Procurement (CY)","Add","U",2015,140000,,,,,,,0,,,,,,
"3010F","02","Airlift Aircraft","03","Other Airlift","C130J0","C-130J","C","C (FY 2015 for FY 2016) (M)","Non-Add","U",2015,140000,,,,,,,0,,,,,,
"3010F","02","Airlift Aircraft","03","Other Airlift","C130J0","C-130J","C","C (FY 2016 for FY 2017) (M)","Non-Add","U",2015,0,,,,,,,0,,,,,,
"3010F","02","Airlift Aircraft","03","Other Airlift","C130JH","HC-130J","A","Weapon System Cost","Add","U",2015,388024,,,,,,,4,,,,,,
"3010F","02","Airlift Aircraft","03","Other Airlift","C130JH","HC-130J","B","Less: Advance Procurement (PY)","Add","U",2015,-56000,,,,,,,0,,,,,,
"3010F","02","Airlift Aircraft","03","Other Airlift","C130JH","HC-130J","C","Advance Procurement (CY)","Add","U",2015,50000,,,,,,,0,,,,,,
"3010F","02","Airlift Aircraft","03","Other Airlift","C130JH","HC-130J","C","C (FY 2015 for FY 2016) (M)","Non-Add","U",2015,50000,,,,,,,0,,,,,,
"3010F","02","Airlift Aircraft","03","Other Airlift","C130JH","HC-130J","C","C (FY 2016 for FY 2017) (M)","Non-Add","U",2015,0,,,,,,,0,,,,,,
"3010F","02","Airlift Aircraft","03","Other Airlift","C130JH","HC-130J","C","C (FY 2017 for FY 2018) (M)","Non-Add","U",2015,0,,,,,,,0,,,,,,
"3010F","02","Airlift Aircraft","03","Other Airlift","C130JM","MC-130J","A","Weapon System Cost","Add","U",2015,320971,,,,,,,3,,,,,,
"3010F","02","Airlift Aircraft","03","Other Airlift","C130JM","MC-130J","B","Less: Advance Procurement (PY)","Add","U",2015,-28000,,,,,,,0,,,,,,
"3010F","02","Airlift Aircraft","03","Other Airlift","C130JM","MC-130J","C","Advance Procurement (CY)","Add","U",2015,80000,,,,,,,0,,,,,,
"3010F","02","Airlift Aircraft","03","Other Airlift","C130JM","MC-130J","C","C (FY 2015 for FY 2016) (M)","Non-Add","U",2015,80000,,,,,,,0,,,,,,
"3010F","02","Airlift Aircraft","03","Other Airlift","C130JM","MC-130J","C","C (FY 2016 for FY 2017) (M)","Non-Add","U",2015,0,,,,,,,0,,,,,,
"3010F","02","Airlift Aircraft","03","Other Airlift","C130JM","MC-130J","C","C (FY 2017 for FY 2018) (M)","Non-Add","U",2015,0,,,,,,,0,,,,,,
"3010F","04","Other Aircraft","01","Helicopters","H0106O","UUH-1N Replacement","A","Weapon System Cost","Add","U",2015,0,,,,,,,0,,,,,,
"3010F","04","Other Aircraft","01","Helicopters","V022A0","CV-22 (MYP)","A","Weapon System Cost","Add","U",2015,15000,,,,,,,0,,,,,,
"3010F","04","Other Aircraft","04","Mission Support Aircraft","CAPAC0","Civil Air Patrol A/C","A","Weapon System Cost","Add","U",2015,10400,,,,,,,20,,,,,,
"3010F","04","Other Aircraft","05","Other Aircraft","10TRGT","Target Drones","A","Weapon System Cost","Add","U",2015,81996,,,,,,,19,,,,,,
"3010F","04","Other Aircraft","05","Other Aircraft","HAEUAV","RQ-4","A","Weapon System Cost","Add","U",2015,54475,,,,,,,0,,,,,,
"3010F","04","Other Aircraft","05","Other Aircraft","PRDTB1","MQ-9","A","Weapon System Cost","Add","U",2015,418218,,,,,,,24,,,,,,
"3010F","05","Modification of Inservice Aircraft","01","Strategic Aircraft","B00200","B-2A","A","Weapon System Cost","Add","U",2015,17653,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","01","Strategic Aircraft","B01B00","B-1B","A","Weapon System Cost","Add","U",2015,219869,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","01","Strategic Aircraft","B05200","B-52","A","Weapon System Cost","Add","U",2015,162114,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","01","Strategic Aircraft","LAIRCM","Large Aircraft Infrared Countermeasures","A","Weapon System Cost","Add","U",2015,12879,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","02","Tactical Aircraft","A01000","A-10","A","Weapon System Cost","Add","U",2015,0,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","02","Tactical Aircraft","F01500","F-15","A","Weapon System Cost","Add","U",2015,498314,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","02","Tactical Aircraft","F01600","F-16","A","Weapon System Cost","Add","U",2015,9042,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","02","Tactical Aircraft","F02200","F-22A","A","Weapon System Cost","Add","U",2015,180207,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","02","Tactical Aircraft","F03500","F-35 Modifications","A","Weapon System Cost","Add","U",2015,187646,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","02","Tactical Aircraft","F2232B","Increment 3.2b","A","Weapon System Cost","Add","U",2015,0,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","02","Tactical Aircraft","F2232B","Increment 3.2b","B","Less: Advance Procurement (PY)","Add","U",2015,0,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","02","Tactical Aircraft","F2232B","Increment 3.2b","C","Advance Procurement (CY)","Add","U",2015,28500,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","02","Tactical Aircraft","F2232B","Increment 3.2b","C","C (FY 2015 for FY 2015) (M)","Non-Add","U",2015,28500,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","02","Tactical Aircraft","F2232B","Increment 3.2b","C","C (FY 2017 for FY 2018) (M)","Non-Add","U",2015,0,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","03","Airlift Aircraft","C00500","C-5","A","Weapon System Cost","Add","U",2015,14731,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","03","Airlift Aircraft","C005M0","C-5M","A","Weapon System Cost","Add","U",2015,317466,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","03","Airlift Aircraft","C01700","C-17A","A","Weapon System Cost","Add","U",2015,86394,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","03","Airlift Aircraft","C02100","C-21","A","Weapon System Cost","Add","U",2015,264,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","03","Airlift Aircraft","C03200","C-32A","A","Weapon System Cost","Add","U",2015,8767,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","03","Airlift Aircraft","C03700","C-37A","A","Weapon System Cost","Add","U",2015,18457,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","04","Trainer Aircraft","GLID00","Glider Mods","A","Weapon System Cost","Add","U",2015,1132,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","04","Trainer Aircraft","JPAT00","T-6","A","Weapon System Cost","Add","U",2015,14484,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","04","Trainer Aircraft","T00100","T-1","A","Weapon System Cost","Add","U",2015,7650,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","04","Trainer Aircraft","T03800","T-38","A","Weapon System Cost","Add","U",2015,28845,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","05","Other Aircraft","11U200","U-2 Mods","A","Weapon System Cost","Add","U",2015,0,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","05","Other Aircraft","C01000","KC-10A (ATCA)","A","Weapon System Cost","Add","U",2015,77513,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","05","Other Aircraft","C01200","C-12","A","Weapon System Cost","Add","U",2015,1960,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","05","Other Aircraft","C02500","VC-25A Mod","A","Weapon System Cost","Add","U",2015,1072,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","05","Other Aircraft","C04000","C-40","A","Weapon System Cost","Add","U",2015,7292,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","05","Other Aircraft","C13000","C-130","A","Weapon System Cost","Add","U",2015,159309,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","05","Other Aircraft","C1300J","C-130J Mods","A","Weapon System Cost","Add","U",2015,25919,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","05","Other Aircraft","C13500","C-135","A","Weapon System Cost","Add","U",2015,63568,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","05","Other Aircraft","CALL00","Compass Call Mods","A","Weapon System Cost","Add","U",2015,82628,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","05","Other Aircraft","DARP01","RC-135","A","Weapon System Cost","Add","U",2015,163346,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","05","Other Aircraft","E00300","E-3","A","Weapon System Cost","Add","U",2015,16491,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","05","Other Aircraft","E00400","E-4","A","Weapon System Cost","Add","U",2015,17091,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","05","Other Aircraft","E00800","E-8","A","Weapon System Cost","Add","U",2015,0,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","05","Other Aircraft","E34045","Airborne Warning and Control System","A","Weapon System Cost","Add","U",2015,191284,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","05","Other Aircraft","FBLOST","Family of Beyond Line-of-Sight Terminals","A","Weapon System Cost","Add","U",2015,27026,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","05","Other Aircraft","H00100","H-1","A","Weapon System Cost","Add","U",2015,8237,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","05","Other Aircraft","H0106O","UH-1N Replacement","A","Weapon System Cost","Add","U",2015,0,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","05","Other Aircraft","H06000","H-60","A","Weapon System Cost","Add","U",2015,60110,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","05","Other Aircraft","HAWK00","RQ-4 Mods","A","Weapon System Cost","Add","U",2015,21354,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","05","Other Aircraft","HCMC00","HC/MC-130 Modifications","A","Weapon System Cost","Add","U",2015,43202,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","05","Other Aircraft","OTHACF","Other Aircraft","A","Weapon System Cost","Add","U",2015,39963,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","05","Other Aircraft","PRDT01","MQ-1 Mods","A","Weapon System Cost","Add","U",2015,4755,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","05","Other Aircraft","PRDTB2","MQ-9 Mods","A","Weapon System Cost","Add","U",2015,155445,,,,,,,0,,,,,,
"3010F","05","Modification of Inservice Aircraft","05","Other Aircraft","V02200","CV-22 Mods","A","Weapon System Cost","Add","U",2015,74874,,,,,,,0,,,,,,
"3010F","06","Aircraft Spares and Repair Parts","10","Aircraft Spares and Repair Parts","000999","Initial Spares/Repair Parts","A","Weapon System Cost","Add","U",2015,534385,,,,,,,0,,,,,,
"3010F","07","Aircraft Supt Equipment & Facilities","01","Common Support Equipment","000071","Aircraft Replacement Support Equip","A","Weapon System Cost","Add","U",2015,23294,,,,,,,0,,,,,,
"3010F","07","Aircraft Supt Equipment & Facilities","02","Post Production Support","B00200","B-2A","A","Weapon System Cost","Add","U",2015,0,,,,,,,0,,,,,,
"3010F","07","Aircraft Supt Equipment & Facilities","02","Post Production Support","B002B0","B-2a","A","Weapon System Cost","Add","U",2015,44793,,,,,,,0,,,,,,
"3010F","07","Aircraft Supt Equipment & Facilities","02","Post Production Support","B05200","B-52","A","Weapon System Cost","Add","U",2015,1328,,,,,,,0,,,,,,
"3010F","07","Aircraft Supt Equipment & Facilities","02","Post Production Support","C01700","C-17A","A","Weapon System Cost","Add","U",2015,20110,,,,,,,0,,,,,,
"3010F","07","Aircraft Supt Equipment & Facilities","02","Post Production Support","C0V220","CV-22 Post Production Support","A","Weapon System Cost","Add","U",2015,16931,,,,,,,0,,,,,,
"3010F","07","Aircraft Supt Equipment & Facilities","02","Post Production Support","C13500","C-135","A","Weapon System Cost","Add","U",2015,564,,,,,,,0,,,,,,
"3010F","07","Aircraft Supt Equipment & Facilities","02","Post Production Support","F0150P","F-15","A","Weapon System Cost","Add","U",2015,1122,,,,,,,0,,,,,,
"3010F","07","Aircraft Supt Equipment & Facilities","02","Post Production Support","F0160P","F-16","A","Weapon System Cost","Add","U",2015,9994,,,,,,,0,,,,,,
"3010F","07","Aircraft Supt Equipment & Facilities","02","Post Production Support","F02200","F-22A","A","Weapon System Cost","Add","U",2015,5929,,,,,,,0,,,,,,
"3010F","07","Aircraft Supt Equipment & Facilities","02","Post Production Support","OTHACF","Other Aircraft","A","Weapon System Cost","Add","U",2015,27,,,,,,,0,,,,,,
"3010F","07","Aircraft Supt Equipment & Facilities","02","Post Production Support","PRDTB1","MQ-9","A","Weapon System Cost","Add","U",2015,0,,,,,,,0,,,,,,
"3010F","07","Aircraft Supt Equipment & Facilities","02","Post Production Support","RQ4DIS","RQ-4 Post Production Charges","A","Weapon System Cost","Add","U",2015,0,,,,,,,0,,,,,,
"3010F","07","Aircraft Supt Equipment & Facilities","03","Industrial Preparedness","000073","Industrial Responsiveness","A","Weapon System Cost","Add","U",2015,22003,,,,,,,0,,,,,,
"3010F","07","Aircraft Supt Equipment & Facilities","04","War Consumables","000074","War Consumables","A","Weapon System Cost","Add","U",2015,99487,,,,,,,0,,,,,,
"3010F","07","Aircraft Supt Equipment & Facilities","05","Other Production Charges","000075","Other Production Charges","A","Weapon System Cost","Add","U",2015,941343,,,,,,,0,,,,,,
"3010F","07","Aircraft Supt Equipment & Facilities","99","Classified Programs","9999999999","Classified Programs","","","Add","U",2015,69380,,,,,,,0,,,,,,
"3020F","01","Ballistic Missiles","03","Missile Replacement Equipment - Ballistic","00099L","Missile Replacement Eq-Ballistic","A","Weapon System Cost","Add","U",2015,80005,,,,,,,0,,,,,,
"3020F","02","Other Missiles","02","Tactical","JASSM0","Joint Air-Surface Standoff Missile","A","Weapon System Cost","Add","U",2015,329158,,,,,,,240,,,,,,
"3020F","02","Other Missiles","02","Tactical","LRASM0","LRASM0","A","Weapon System Cost","Add","U",2015,0,,,,,,,0,,,,,,
"3020F","02","Other Missiles","02","Tactical","M09HAI","Sidewinder (AIM-9X)","A","Weapon System Cost","Add","U",2015,129121,,,,,,,303,,,,,,
"3020F","02","Other Missiles","02","Tactical","MAMRA0","AMRAAM","A","Weapon System Cost","Add","U",2015,329600,,,,,,,223,,,,,,
"3020F","02","Other Missiles","02","Tactical","PRDTA2","Predator Hellfire Missile","A","Weapon System Cost","Add","U",2015,359347,,,,,,,3143,,,,,,
"3020F","02","Other Missiles","02","Tactical","SDB000","Small Diameter Bomb","A","Weapon System Cost","Add","U",2015,51298,,,,,,,443,,,,,,
"3020F","02","Other Missiles","05","Industrial Facilities","000042","Industr'l Preparedns/Pol Prevention","A","Weapon System Cost","Add","U",2015,749,,,,,,,0,,,,,,
"3020F","03","Modification of Inservice Missiles","01","Class IV","M30FLH","ICBM FUZE MOD","A","Weapon System Cost","Add","U",2015,0,,,,,,,0,,,,,,
"3020F","03","Modification of Inservice Missiles","01","Class IV","M30MLG","MM III Modifications","A","Weapon System Cost","Add","U",2015,28422,,,,,,,0,,,,,,
"3020F","03","Modification of Inservice Missiles","01","Class IV","M65DAG","AGM-65D Maverick","A","Weapon System Cost","Add","U",2015,276,,,,,,,0,,,,,,
"3020F","03","Modification of Inservice Missiles","01","Class IV","M88AAG","AGM-88A Harm","A","Weapon System Cost","Add","U",2015,297,,,,,,,0,,,,,,
"3020F","03","Modification of Inservice Missiles","01","Class IV","MALCBG","Air Launch Cruise Missile (ALCM)","A","Weapon System Cost","Add","U",2015,16083,,,,,,,0,,,,,,
"3020F","03","Modification of Inservice Missiles","01","Class IV","SDB000","Small Diameter Bomb","A","Weapon System Cost","Add","U",2015,6924,,,,,,,0,,,,,,
"3020F","04","Spares and Repair Parts","10","Missile Spares and Repair Parts","000999","Initial Spares/Repair Parts","A","Weapon System Cost","Add","U",2015,87364,,,,,,,0,,,,,,
"3020F","05","Other Support","01","Space Programs","ADV555","Advanced EHF","A","Weapon System Cost","Add","U",2015,298462,,,,,,,0,,,,,,
"3020F","05","Other Support","01","Space Programs","CAADJS","Cancelled Account","A","Weapon System Cost","Add","U",2015,42,,,,,,,0,,,,,,
"3020F","05","Other Support","01","Space Programs","GAP000","Wideband Gapfiller Satellites(Space)","A","Weapon System Cost","Add","U",2015,36071,,,,,,,0,,,,,,
"3020F","05","Other Support","01","Space Programs","GPSIII","GPS III Space Segment","A","Weapon System Cost","Add","U",2015,277493,,,,,,,0,,,,,,
"3020F","05","Other Support","01","Space Programs","GPSIII","GPS III Space Segment","B","Less: Advance Procurement (PY)","Add","U",2015,-52167,,,,,,,0,,,,,,
"3020F","05","Other Support","01","Space Programs","GPSIII","GPS III Space Segment","C","Advance Procurement (CY)","Add","U",2015,87000,,,,,,,0,,,,,,
"3020F","05","Other Support","01","Space Programs","GPSIII","GPS III Space Segment","C","C (FY 2015 for FY 2016) (M)","Non-Add","U",2015,87000,,,,,,,0,,,,,,
"3020F","05","Other Support","01","Space Programs","MC0MSE","Spaceborne Equip (COMSEC)","A","Weapon System Cost","Add","U",2015,13401,,,,,,,0,,,,,,
"3020F","05","Other Support","01","Space Programs","MGPS00","Global Positioning (Space)","A","Weapon System Cost","Add","U",2015,52959,,,,,,,0,,,,,,
"3020F","05","Other Support","01","Space Programs","MS0554","Def Meteorological Sat Prog(Space)","A","Weapon System Cost","Add","U",2015,77815,,,,,,,0,,,,,,
"3020F","05","Other Support","01","Space Programs","MSEELC","Evolved Expendable Launch Capability","A","Weapon System Cost","Add","U",2015,687735,,,,,,,0,,,,,,
"3020F","05","Other Support","01","Space Programs","MSEELV","Evolved Expendable Launch Veh(Space)","A","Weapon System Cost","Add","U",2015,732003,,,,,,,0,,,,,,
"3020F","05","Other Support","01","Space Programs","MSSBIR","SBIR High (Space)","A","Weapon System Cost","Add","U",2015,444567,,,,,,,0,,,,,,
"3020F","05","Other Support","04","Special Programs","MSPPRG","Special Update Programs","A","Weapon System Cost","Add","U",2015,60179,,,,,,,0,,,,,,
"3020F","05","Other Support","99","Classified Programs","9999999999","Classified Programs","","","Add","U",2015,818000,,,,,,,0,,,,,,
"3021F","01","Space Procurement, Air Force","01","Space Programs","ADV555","Advanced EHF","A","Weapon System Cost","Add","U",2015,0,,,,,,,0,,,,,,
"3021F","01","Space Procurement, Air Force","01","Space Programs","AFSCOM","AF Satellite Comm System","A","Weapon System Cost","Add","U",2015,0,,,,,,,0,,,,,,
"3021F","01","Space Procurement, Air Force","01","Space Programs","CTRSPC","Counterspace Systems","A","Weapon System Cost","Add","U",2015,0,,,,,,,0,,,,,,
"3021F","01","Space Procurement, Air Force","01","Space Programs","FBLOST","Family of Beyond Line-of-Sight Terminals","A","Weapon System Cost","Add","U",2015,0,,,,,,,0,,,,,,
"3021F","01","Space Procurement, Air Force","01","Space Programs","GAP000","Wideband Gapfiller Satellites(Space)","A","Weapon System Cost","Add","U",2015,0,,,,,,,0,,,,,,
"3021F","01","Space Procurement, Air Force","01","Space Programs","GPSIII","GPS III Space Segment","A","Weapon System Cost","Add","U",2015,0,,,,,,,0,,,,,,
"3021F","01","Space Procurement, Air Force","01","Space Programs","GPSIII","GPS III Space Segment","B","Less: Advance Procurement (PY)","Add","U",2015,0,,,,,,,0,,,,,,
"3021F","01","Space Procurement, Air Force","01","Space Programs","GPSSPC","Global Postioning (Space)","A","Weapon System Cost","Add","U",2015,0,,,,,,,0,,,,,,
"3021F","01","Space Procurement, Air Force","01","Space Programs","MC0MSE","Spaceborne Equip (Comsec)","A","Weapon System Cost","Add","U",2015,0,,,,,,,0,,,,,,
"3021F","01","Space Procurement, Air Force","01","Space Programs","MGPS00","Global Positioning (Space)","A","Weapon System Cost","Add","U",2015,0,,,,,,,0,,,,,,
"3021F","01","Space Procurement, Air Force","01","Space Programs","MILSAT","MILSATCOM","A","Weapon System Cost","Add","U",2015,0,,,,,,,0,,,,,,
"3021F","01","Space Procurement, Air Force","01","Space Programs","MSEELC","Evolved Expendable Launch Capability","A","Weapon System Cost","Add","U",2015,0,,,,,,,0,,,,,,
"3021F","01","Space Procurement, Air Force","01","Space Programs","MSEELV","Evolved Expendable Launch Veh(Space)","A","Weapon System Cost","Add","U",2015,0,,,,,,,0,,,,,,
"3021F","01","Space Procurement, Air Force","01","Space Programs","MSSBIR","SBIR High (Space)","A","Weapon System Cost","Add","U",2015,0,,,,,,,0,,,,,,
"3021F","01","Space Procurement, Air Force","01","Space Programs","NUDETS","NUDET Detection System","A","Weapon System Cost","Add","U",2015,0,,,,,,,0,,,,,,
"3021F","01","Space Procurement, Air Force","01","Space Programs","SPCMOD","Space Mods","A","Weapon System Cost","Add","U",2015,0,,,,,,,0,,,,,,
"3021F","01","Space Procurement, Air Force","01","Space Programs","SPRNGE","Spacelift Range System Space","A","Weapon System Cost","Add","U",2015,0,,,,,,,0,,,,,,
"3021F","02","Spares","02","SSpares","SSPARE","Initial Spares/Repair Parts","A","Weapon System Cost","Add","U",2015,0,,,,,,,0,,,,,,
"3011F","01","Ammunition","11","Rockets","351010","Rockets","A","Weapon System Cost","Add","U",2015,4696,,,,,,,0,,,,,,
"3011F","01","Ammunition","12","Cartridges","352010","Cartridges","A","Weapon System Cost","Add","U",2015,131189,,,,,,,0,,,,,,
"3011F","01","Ammunition","13","Bombs","353010","Practice Bombs","A","Weapon System Cost","Add","U",2015,30098,,,,,,,0,,,,,,
"3011F","01","Ammunition","13","Bombs","353020","General Purpose Bombs","A","Weapon System Cost","Add","U",2015,204907,,,,,,,0,,,,,,
"3011F","01","Ammunition","13","Bombs","353190","Massive Ordnance Penetrator (MOP)","A","Weapon System Cost","Add","U",2015,0,,,,,,,0,,,,,,
"3011F","01","Ammunition","13","Bombs","353620","Joint Direct Attack Munition","A","Weapon System Cost","Add","U",2015,228439,,,,,,,8786,,,,,,
"3011F","01","Ammunition","15","Other Items","355100","Cad/Pad","A","Weapon System Cost","Add","U",2015,29989,,,,,,,0,,,,,,
"3011F","01","Ammunition","15","Other Items","355450","Explosive Ordnance Disposal (EOD)","A","Weapon System Cost","Add","U",2015,6925,,,,,,,0,,,,,,
"3011F","01","Ammunition","15","Other Items","355900","Spares and Repair Parts","A","Weapon System Cost","Add","U",2015,395,,,,,,,0,,,,,,
"3011F","01","Ammunition","15","Other Items","355970","Modifications","A","Weapon System Cost","Add","U",2015,1610,,,,,,,0,,,,,,
"3011F","01","Ammunition","15","Other Items","355990","Items Less Than $5 Million","A","Weapon System Cost","Add","U",2015,4237,,,,,,,0,,,,,,
"3011F","01","Ammunition","16","Flares","356010","Flares","A","Weapon System Cost","Add","U",2015,103296,,,,,,,0,,,,,,
"3011F","01","Ammunition","18","Fuzes","356120","Fuzes","A","Weapon System Cost","Add","U",2015,109265,,,,,,,0,,,,,,
"3011F","02","Weapons","01","Small Arms","357010","Small Arms","A","Weapon System Cost","Add","U",2015,24648,,,,,,,0,,,,,,
"3080F","02","Vehicular Equipment","01","Passenger Carrying Vehicles","821800","Passenger Carrying Vehicles","A","Weapon System Cost","Add","U",2015,6528,,,,,,,0,,,,,,
"3080F","02","Vehicular Equipment","02","Cargo and Utility Vehicles","822230","Medium Tactical Vehicle","A","Weapon System Cost","Add","U",2015,7639,,,,,,,0,,,,,,
"3080F","02","Vehicular Equipment","02","Cargo and Utility Vehicles","822910","Cap Vehicles","A","Weapon System Cost","Add","U",2015,1700,,,,,,,0,,,,,,
"3080F","02","Vehicular Equipment","02","Cargo and Utility Vehicles","822990","Items Less Than $5 Million","A","Weapon System Cost","Add","U",2015,27778,,,,,,,0,,,,,,
"3080F","02","Vehicular Equipment","03","Special Purpose Vehicles","823230","Security And Tactical Vehicles","A","Weapon System Cost","Add","U",2015,10027,,,,,,,0,,,,,,
"3080F","02","Vehicular Equipment","03","Special Purpose Vehicles","823990","Items Less Than $5 Million","A","Weapon System Cost","Add","U",2015,9781,,,,,,,0,,,,,,
"3080F","02","Vehicular Equipment","04","Fire Fighting Equipment","824010","Fire Fighting/Crash Rescue Vehicles","A","Weapon System Cost","Add","U",2015,10152,,,,,,,0,,,,,,
"3080F","02","Vehicular Equipment","05","Materials Handling Equipment","825990","Items Less Than $5 Million","A","Weapon System Cost","Add","U",2015,20239,,,,,,,0,,,,,,
"3080F","02","Vehicular Equipment","06","Base Maintenance Support","826210","Runway Snow Remov & Cleaning Equip","A","Weapon System Cost","Add","U",2015,11946,,,,,,,0,,,,,,
"3080F","02","Vehicular Equipment","06","Base Maintenance Support","826990","Items Less Than $5 Million","A","Weapon System Cost","Add","U",2015,57069,,,,,,,0,,,,,,
"3080F","02","Vehicular Equipment","09","Cancelled Account Adjustments","829100","Cancelled Account Adjustments","A","Weapon System Cost","Add","U",2015,161,,,,,,,0,,,,,,
